file, segment, start, end, dur, filedur, mean_intensity
engl310_01_20min,np,216.314,217.100,0.786,1200.470,78.836,
engl310_01_20min,pau,217.100,217.214,0.114,1200.470,58.981,
engl310_01_20min,uh,217.214,217.382,0.168,1200.470,75.783,
engl310_01_20min,np,217.382,218.486,1.104,1200.470,75.501,
engl310_01_20min,ex,218.486,218.823,0.337,1200.470,59.222,
engl310_01_20min,np,218.823,219.181,0.357,1200.470,80.190,
engl310_01_20min,pau,219.181,219.256,0.075,1200.470,50.651,
engl310_01_20min,np,219.256,221.484,2.228,1200.470,78.771,
engl310_01_20min,pau,221.484,221.574,0.090,1200.470,47.642,
engl310_01_20min,in,221.574,222.124,0.550,1200.470,60.303,
engl310_01_20min,pau,222.124,222.170,0.046,1200.470,48.621,
engl310_01_20min,uh,222.170,222.474,0.304,1200.470,79.117,
