"file","segment","start","end","dur","filedur","mean_intensity","nsyll","npause","dur(s)","phonationtime(s)","speechrate(nsyll/dur)","articulationrate(nsyll/phonationtime)","ASD(speakingtime/nsyll)","nrFP","tFP(s)","pints","pintsrate","speaker","session"
"engl310_01_20min","in",106.397,106.728,0.331,1200.47,"58.629",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",106.728,106.818,0.09,1200.47,"50.023",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",106.818,107.097,0.279,1200.47,"74.941",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",107.097,107.702,0.604,1200.47,"48.579",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",108.884,109.424,0.54,1200.47,"54.162",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","other",109.424,109.56,0.136,1200.47,"71.330",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",109.56,109.85,0.29,1200.47,"60.099",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",110.231,110.399,0.168,1200.47,"49.701",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","in",110.399,110.737,0.338,1200.47,"60.738",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",110.737,111.046,0.309,1200.47,"81.200",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",111.046,111.097,0.05,1200.47,"52.101",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",112.111,112.585,0.474,1200.47,"47.956",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","uh",113.25,113.547,0.297,1200.47,"79.046",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",113.547,113.571,0.024,1200.47,"55.002",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",114.716,115.873,1.157,1200.47,"49.196",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","cl",115.873,115.923,0.05,1200.47,"70.248",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
"engl310_01_20min","sil",115.923,116.006,0.084,1200.47,"44.629",3127,461,1200.47,891.71,2.6,3.51,0.285,621,134.378,1848,1.53939706948112,"1","first"
